,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
53,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-047,1999,18.4,1,3,2,66.7,0.16,0.11,0.33,0.50,11.8,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches,01834aa0
54,Rafael Borré,co COL,MFFW,Eint Frankfurt,27-235,1995,11.7,2,24,7,29.2,2.06,0.60,0.04,0.14,13.1,0,1,1,4.1,3.3,0.14,-2.1,-2.3,Matches,c68da769
55,Julian Brandt,de GER,MFFW,Dortmund,27-006,1996,24.2,8,33,18,54.5,1.36,0.74,0.24,0.44,17.8,1,0,0,4.1,4.1,0.12,+3.9,+3.9,Matches,a167537f
56,Fabian Bredlow,de GER,GK,Stuttgart,28-067,1995,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d28339cb
57,Josip Brekalo,hr CRO,MFFW,Wolfsburg,24-319,1998,3.0,0,2,1,50.0,0.66,0.33,0.00,0.00,20.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,d4a2533d
58,John Brooks,us USA,DF,Hoffenheim,30-100,1993,12.0,0,4,0,0.0,0.33,0.00,0.00,,11.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,e27da244
59,Moritz Broschinski,de GER,FWMF,Bochum,22-227,2000,2.1,2,4,3,75.0,1.94,1.45,0.50,0.67,11.8,0,0,0,1.2,1.2,0.29,+0.8,+0.8,Matches,bbd79358
60,Cédric Brunner,ch SUI,DF,Schalke 04,29-080,1994,23.2,0,8,0,0.0,0.34,0.00,0.00,,26.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,f0a37d36
61,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,24-231,1998,3.3,1,6,2,33.3,1.84,0.61,0.17,0.50,14.0,0,0,0,1.2,1.2,0.20,-0.2,-0.2,Matches,4e204552
62,Lee Buchanan,eng ENG,DFFW,Werder Bremen,22-062,2001,4.2,1,5,1,20.0,1.18,0.24,0.20,1.00,22.1,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches,45e95f21
63,Marius Bülter,de GER,FWMF,Schalke 04,30-040,1993,27.2,11,60,22,36.7,2.21,0.81,0.12,0.32,18.6,1,4,4,8.6,5.7,0.10,+2.4,+1.3,Matches,ab5b7dc1
64,Delano Burgzorg,nl NED,FWMF,Mainz 05,24-182,1998,2.4,0,4,2,50.0,1.69,0.85,0.00,0.00,25.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,05e2d5ea
65,Jonathan Burkardt,de GER,MFFW,Mainz 05,22-301,2000,5.9,1,20,6,30.0,3.38,1.01,0.05,0.17,12.6,0,0,1,3.0,2.2,0.11,-2.0,-1.2,Matches,05f99a4a
66,Oliver Burke,sct SCO,FWMF,Werder Bremen,26-031,1997,3.0,2,8,5,62.5,2.69,1.68,0.25,0.40,14.0,0,0,0,1.0,1.0,0.13,+1.0,+1.0,Matches,f631c17f
67,Aurélio Buta,pt POR,DF,Eint Frankfurt,26-087,1997,11.9,2,6,3,50.0,0.50,0.25,0.33,0.67,15.6,0,0,0,0.5,0.5,0.08,+1.5,+1.5,Matches,b4705807
68,Jamie Bynoe-Gittens,eng ENG,FWMF,Dortmund,18-273,2004,5.9,3,24,11,45.8,4.05,1.86,0.13,0.27,17.6,0,0,0,2.4,2.4,0.10,+0.6,+0.6,Matches,10745192
69,Anthony Caci,fr FRA,DF,Mainz 05,25-311,1997,20.4,2,10,4,40.0,0.49,0.20,0.20,0.50,16.1,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches,0118c54c
70,Kerim Calhanoglu,de GER,DF,Schalke 04,20-255,2002,0.7,0,1,0,0.0,1.43,0.00,0.00,,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,d1db4b83
71,Daniel Caligiuri,it ITA,DFMF,Augsburg,35-113,1988,3.2,1,6,2,33.3,1.86,0.62,0.17,0.50,19.8,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches,d1273f09
72,Emre Can,de GER,MF,Dortmund,29-116,1994,18.1,2,8,2,25.0,0.44,0.11,0.13,0.50,21.0,0,1,1,1.3,0.5,0.06,+0.7,+0.5,Matches,a65ce836
73,João Cancelo,pt POR,DFFW,Bayern Munich,28-346,1994,9.0,1,12,4,33.3,1.34,0.45,0.08,0.25,18.5,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches,bd6351cd
74,Irvin Cardona,fr FRA,MFFW,Augsburg,25-273,1997,3.0,1,8,3,37.5,2.71,1.02,0.13,0.33,13.5,0,0,0,1.7,1.7,0.21,-0.7,-0.7,Matches,5e080f73
75,Koen Casteels,be BEL,GK,Wolfsburg,30-317,1992,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,db401046
76,Julian Chabot,de GER,DF,Köln,25-085,1998,17.0,0,10,2,20.0,0.59,0.12,0.00,0.00,8.5,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches,ae7058f9
77,Timothy Chandler,us USA,DF,Eint Frankfurt,33-040,1990,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3b7f5a6
78,Fabio Chiarodia,it ITA,DF,Werder Bremen,17-337,2005,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,48780156
79,Oliver Christensen,dk DEN,GK,Hertha BSC,24-047,1999,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,af104654
80,Darko Churlinov,mk MKD,FW,Stuttgart,22-301,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c6608135
81,Tolga Ciğerci,tr TUR,MF,Hertha BSC,31-046,1992,7.5,0,9,3,33.3,1.21,0.40,0.00,0.00,29.4,1,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,6e17c802
82,David Čolina,hr CRO,DFFW,Augsburg,22-293,2000,1.2,1,1,1,100.0,0.80,0.80,1.00,1.00,8.4,0,0,0,0.4,0.4,0.44,+0.6,+0.6,Matches,dd5bbe0d
83,Kingsley Coman,fr FRA,FWMF,Bayern Munich,26-329,1996,13.3,7,41,15,36.6,3.07,1.13,0.17,0.47,18.4,0,0,0,4.0,4.0,0.10,+3.0,+3.0,Matches,042e8a49
84,Danny da Costa,de GER,DF,Mainz 05,29-299,1993,11.7,0,5,0,0.0,0.43,0.00,0.00,,17.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,5ddb8f9f
85,Soumaïla Coulibaly,fr FRA,DF,Dortmund,19-206,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9dff291c
86,Tanguy Coulibaly,fr FRA,FWDF,Stuttgart,22-079,2001,3.4,3,10,5,50.0,2.93,1.47,0.20,0.40,20.3,0,1,1,1.3,0.5,0.05,+1.7,+1.5,Matches,05ba9d7c
87,Nicolas Cozza,fr FRA,DF,Wolfsburg,24-120,1999,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f325097
88,Moanes Dabbur,il ISR,FWMF,Hoffenheim,30-359,1992,9.4,5,20,13,65.0,2.13,1.38,0.25,0.38,14.9,0,0,0,2.9,2.9,0.14,+2.1,+2.1,Matches,eac044ad
89,Finn Dahmen,de GER,GK,Mainz 05,25-042,1998,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dee3013b
90,Mahmoud Dahoud,de GER,MF,Dortmund,27-127,1996,3.7,0,6,1,16.7,1.60,0.27,0.00,0.00,26.2,1,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,db4ed67b
91,Muhammed Damar,de GER,MF,Hoffenheim,19-029,2004,1.8,0,1,0,0.0,0.57,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,d3d77413
92,Márton Dárdai,de GER,DF,Hertha BSC,21-085,2002,8.9,1,2,1,50.0,0.23,0.11,0.50,1.00,22.2,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches,41bff4fa
93,Vladimír Darida,cz CZE,MF,Hertha BSC,32-273,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3eb0f2df
94,Alphonso Davies,ca CAN,DF,Bayern Munich,22-187,2000,22.7,1,19,8,42.1,0.84,0.35,0.05,0.13,18.6,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches,d781d855
95,Thomas Delaney,dk DEN,MF,Hoffenheim,31-247,1991,3.3,0,1,0,0.0,0.30,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,fe641c1a
96,Kerem Demirbay,de GER,MF,Leverkusen,29-309,1993,15.2,3,30,5,16.7,1.98,0.33,0.10,0.60,24.9,8,0,0,2.0,2.0,0.07,+1.0,+1.0,Matches,54b4dc4e
97,Ermedin Demirović,ba BIH,FWMF,Augsburg,25-044,1998,23.4,8,54,22,40.7,2.31,0.94,0.13,0.32,15.4,0,1,1,6.6,5.8,0.11,+1.4,+1.2,Matches,ed79b7d3
98,Sepp van den Berg,nl NED,DF,Schalke 04,21-139,2001,4.7,1,4,1,25.0,0.85,0.21,0.25,1.00,14.0,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches,7bf9400b
99,Moussa Diaby,fr FRA,FWMF,Leverkusen,23-305,1999,27.1,9,71,34,47.9,2.62,1.26,0.13,0.26,17.9,0,0,1,10.3,9.5,0.13,-1.3,-0.5,Matches,aeed5c06
100,Abdou Diallo,sn SEN,DFMF,RB Leipzig,27-004,1996,5.3,1,4,1,25.0,0.76,0.19,0.25,1.00,8.0,0,0,0,0.4,0.4,0.10,+0.6,+0.6,Matches,fc62f087
101,Justin Diehl,de GER,MFFW,Köln,18-162,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d82a310a
102,Florian Dietz,de GER,FW,Köln,24-278,1998,4.4,1,17,6,35.3,3.87,1.37,0.06,0.17,11.9,0,0,0,2.5,2.5,0.15,-1.5,-1.5,Matches,8779ddf8
103,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,22-168,2000,11.4,2,23,9,39.1,2.02,0.79,0.09,0.22,14.9,0,0,0,2.9,2.9,0.13,-0.9,-0.9,Matches,95bb6ddc
104,Eren Dinkçi,de GER,FWMF,Werder Bremen,21-146,2001,2.4,0,6,0,0.0,2.55,0.00,0.00,,15.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,4ccd8957
105,Ritsu Doan,jp JPN,FWMF,Freiburg,24-326,1998,24.2,5,51,25,49.0,2.11,1.03,0.10,0.20,17.4,0,0,0,6.5,6.5,0.13,-1.5,-1.5,Matches,d01bbb6f
106,Danilho Doekhi,nl NED,DF,Union Berlin,24-312,1998,21.6,4,11,7,63.6,0.51,0.32,0.36,0.57,11.4,0,0,0,1.5,1.5,0.14,+2.5,+2.5,Matches,f67c9d29
107,Kasper Dolberg,dk DEN,FWMF,Hoffenheim,25-214,1997,4.3,1,7,3,42.9,1.64,0.70,0.14,0.33,16.7,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches,cc83b74d
108,Niklas Dorsch,de GER,MF,Augsburg,25-113,1998,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7f73bdf4
109,Dion Drena Beljo,hr CRO,FW,Augsburg,21-068,2002,10.4,3,11,5,45.5,1.06,0.48,0.27,0.60,16.5,0,0,0,1.3,1.3,0.12,+1.7,+1.7,Matches,9a2e3a23
110,Dominick Drexler,de GER,MFFW,Schalke 04,32-347,1990,13.5,4,15,6,40.0,1.11,0.45,0.27,0.67,13.5,0,0,0,2.4,2.4,0.16,+1.6,+1.6,Matches,809940aa
111,Marvin Ducksch,de GER,FW,Werder Bremen,29-062,1994,28.9,12,83,37,44.6,2.88,1.28,0.14,0.32,18.8,12,0,1,10.2,9.4,0.11,+1.8,+2.6,Matches,638a4d71
112,Ondrej Duda,sk SVK,MF,Köln,28-154,1994,7.7,0,12,3,25.0,1.57,0.39,0.00,0.00,18.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,79ca3e23
113,Maximilian Eggestein,de GER,MF,Freiburg,26-151,1996,25.2,1,15,4,26.7,0.59,0.16,0.07,0.25,21.0,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,beb882a8
114,Lilian Egloff,de GER,MFFW,Stuttgart,20-261,2002,2.7,0,8,0,0.0,2.99,0.00,0.00,,20.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,2f7fec15
115,Kingsley Ehizibue,nl NED,DF,Köln,27-348,1995,0.7,0,1,1,100.0,1.48,1.48,0.00,0.00,35.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,76b2817e
116,Chidera Ejuke,ng NGA,FWMF,Hertha BSC,25-126,1998,9.5,0,22,5,22.7,2.32,0.53,0.00,0.00,20.3,0,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches,e7f3e8a7
117,Nico Elvedi,ch SUI,DF,M'Gladbach,26-220,1996,28.5,3,17,9,52.9,0.60,0.32,0.18,0.33,10.5,0,0,0,2.5,2.5,0.15,+0.5,+0.5,Matches,48035304
118,Wataru Endo,jp JPN,MF,Stuttgart,30-088,1993,29.5,4,39,13,33.3,1.32,0.44,0.10,0.31,16.6,0,0,0,3.5,3.5,0.10,+0.5,+0.5,Matches,c149016b
119,Arne Engels,be BEL,MF,Augsburg,19-242,2003,14.1,0,15,1,6.7,1.06,0.07,0.00,0.00,26.6,1,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,554bcc91
120,Kimberly Ezekwem,de GER,DF,Freiburg,21-323,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,56e6a1c9
121,Ralf Fährmann,de GER,GK,Schalke 04,34-223,1988,10.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1e43fad8
122,Ohis Felix Uduokhai,de GER,DF,Augsburg,25-241,1997,14.7,0,3,1,33.3,0.20,0.07,0.00,0.00,9.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,677da306
123,Edimilson Fernandes,ch SUI,DF,Mainz 05,27-023,1996,24.1,0,12,2,16.7,0.50,0.08,0.00,0.00,24.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,3bb625ac
124,Kilian Fischer,de GER,DFFW,Wolfsburg,22-208,2000,5.6,0,3,1,33.3,0.54,0.18,0.00,0.00,19.8,0,0,0,0.3,0.3,0.12,-0.3,-0.3,Matches,79f7302a
125,Mark Flekken,nl NED,GK,Freiburg,29-329,1993,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a92ab7be
126,Florian Flick,de GER,MF,Schalke 04,23-007,2000,5.7,0,2,1,50.0,0.35,0.18,0.00,0.00,24.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,9642c929
127,Emil Forsberg,se SWE,MFFW,RB Leipzig,31-197,1991,14.6,6,19,9,47.4,1.30,0.61,0.21,0.44,18.0,1,2,2,4.7,3.1,0.16,+1.3,+0.9,Matches,9a2e0ccc
128,Philipp Förster,de GER,MF,Bochum,28-093,1995,12.2,2,12,5,41.7,0.98,0.41,0.17,0.40,20.8,2,0,0,0.7,0.7,0.06,+1.3,+1.3,Matches,76fa965f
129,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,25-126,1998,2.1,0,3,2,66.7,1.41,0.94,0.00,0.00,24.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,a9142dc3
130,Raphael Framberger,de GER,DFFW,Augsburg,27-244,1995,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,626fab5f
131,Bartol Franjić,hr CRO,MF,Wolfsburg,23-114,2000,2.5,0,2,2,100.0,0.79,0.79,0.00,0.00,11.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,697dc00a
132,Oscar Fraulo,dk DEN,FWMF,M'Gladbach,19-153,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,458e3479
133,Michael Frey,ch SUI,FW,Schalke 04,28-293,1994,8.9,0,26,9,34.6,2.91,1.01,0.00,0.00,15.7,0,0,0,1.6,1.6,0.06,-1.6,-1.6,Matches,33182cb8
134,Marco Friedl,at AUT,DF,Werder Bremen,25-053,1998,25.8,0,5,1,20.0,0.19,0.04,0.00,0.00,22.1,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,f86ad3f5
135,Marvin Friedrich,de GER,DF,M'Gladbach,27-146,1995,11.9,1,8,3,37.5,0.67,0.25,0.13,0.33,13.5,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches,b77f44a4
136,Jeremie Frimpong,nl NED,DFMF,Leverkusen,22-149,2000,27.1,8,35,17,48.6,1.29,0.63,0.23,0.47,11.8,0,0,0,7.2,7.2,0.21,+0.8,+0.8,Matches,74f2e748
137,Chris Führich,de GER,FWMF,Stuttgart,25-119,1998,19.6,4,39,11,28.2,1.99,0.56,0.08,0.27,18.7,0,1,1,3.3,2.5,0.07,+0.7,+0.5,Matches,0cf778df
138,Angelo Fulgini,fr FRA,MF,Mainz 05,26-261,1996,5.8,0,8,4,50.0,1.37,0.69,0.00,0.00,18.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,4b96c347
139,Niclas Füllkrug,de GER,FW,Werder Bremen,30-088,1993,25.5,16,73,31,42.5,2.86,1.21,0.15,0.35,16.1,0,5,5,12.6,8.4,0.12,+3.4,+2.6,Matches,4f16405e
140,Cristian Gamboa,cr CRC,DF,Bochum,33-196,1989,16.4,0,8,1,12.5,0.49,0.06,0.00,0.00,29.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,f27680d9
141,Silvère Ganvoula M'Boussy,cg CGO,FWMF,Bochum,26-320,1996,2.7,0,9,3,33.3,3.28,1.09,0.00,0.00,20.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,6c731625
142,Dario Gebuhr,de GER,DF,Eint Frankfurt,20-002,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,277be51d
143,Dennis Geiger,de GER,MF,Hoffenheim,24-332,1998,21.0,1,5,3,60.0,0.24,0.14,0.20,0.33,24.7,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches,37f606f0
144,Yannick Gerhardt,de GER,MF,Wolfsburg,29-056,1994,18.5,6,26,13,50.0,1.40,0.70,0.23,0.46,12.0,0,0,0,5.6,5.6,0.21,+0.4,+0.4,Matches,62ab9184
145,Niko Gießelmann,de GER,DF,Union Berlin,31-224,1991,14.4,0,19,3,15.8,1.32,0.21,0.00,0.00,19.6,1,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches,7242b495
146,Rafał Gikiewicz,pl POL,GK,Augsburg,35-194,1987,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,17376543
147,Matthias Ginter,de GER,DF,Freiburg,29-109,1994,31.0,4,17,9,52.9,0.55,0.29,0.24,0.44,11.9,0,0,0,1.4,1.4,0.08,+2.6,+2.6,Matches,f521b80a
148,Serge Gnabry,de GER,FWMF,Bayern Munich,27-298,1995,19.0,11,75,34,45.3,3.94,1.79,0.13,0.29,15.8,1,1,1,9.8,9.0,0.12,+1.2,+1.0,Matches,88e357ef
149,Jacek Góralski,pl POL,MF,Bochum,30-229,1992,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,83b9c48f
150,Leon Goretzka,de GER,MF,Bayern Munich,28-091,1995,18.1,3,39,13,33.3,2.16,0.72,0.08,0.23,17.2,0,0,0,4.7,4.7,0.12,-1.7,-1.7,Matches,cc86b9a3
151,Mario Götze,de GER,MF,Eint Frankfurt,30-339,1992,27.4,3,23,7,30.4,0.84,0.26,0.13,0.43,16.5,0,0,0,3.0,3.0,0.13,0.0,0.0,Matches,9efa1d25
152,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,31-302,1991,28.1,0,15,4,26.7,0.53,0.14,0.00,0.00,15.4,0,0,0,1.4,1.4,0.10,-1.4,-1.4,Matches,1025db8e
153,Ryan Gravenberch,nl NED,MF,Bayern Munich,20-357,2002,5.1,0,10,3,30.0,1.97,0.59,0.00,0.00,19.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,b8e740fb
154,Michael Gregoritsch,at AUT,FW,Freiburg,29-020,1994,23.4,10,65,37,56.9,2.78,1.58,0.15,0.27,14.8,1,0,0,9.6,9.6,0.15,+0.4,+0.4,Matches,8e235926
155,Leo Greiml,at AUT,DF,Schalke 04,21-309,2001,4.0,0,1,1,100.0,0.25,0.25,0.00,0.00,10.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,f9dfb7ae
156,Vincenzo Grifo,it ITA,FWMF,Freiburg,30-031,1993,24.0,13,50,21,42.0,2.09,0.88,0.14,0.33,22.9,14,6,7,8.8,3.2,0.06,+4.2,+3.8,Matches,54e4866f
157,Lennart Grill,de GER,GK,Union Berlin,24-103,1999,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,37998008
158,Christian Groß,de GER,MF,Werder Bremen,34-089,1989,20.5,1,5,1,20.0,0.24,0.05,0.20,1.00,26.0,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches,14a7af33
159,Brajan Gruda,de GER,MF,Mainz 05,18-342,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ae9b998d
160,Ilia Gruev,bg BUL,MF,Werder Bremen,23-002,2000,15.3,0,5,1,20.0,0.33,0.07,0.00,0.00,25.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,1fc4f3d1
161,Carlos Gruezo,ec ECU,MF,Augsburg,28-019,1995,10.7,0,2,0,0.0,0.19,0.00,0.00,,32.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,f2dd9a21
162,Raphaël Guerreiro,pt POR,DFMF,Dortmund,29-137,1993,23.2,3,26,12,46.2,1.12,0.52,0.12,0.25,19.9,5,0,0,2.2,2.2,0.08,+0.8,+0.8,Matches,048a1cbc
163,Josuha Guilavogui,fr FRA,MFDF,Wolfsburg,32-231,1990,10.1,1,4,1,25.0,0.40,0.10,0.25,1.00,12.8,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches,e6c43eec
164,Sehrou Guirassy,gn GUI,FW,Stuttgart,27-057,1996,15.3,9,41,16,39.0,2.67,1.04,0.20,0.50,15.9,3,1,1,8.5,7.7,0.19,+0.5,+0.3,Matches,923f4dda
165,Péter Gulácsi,hu HUN,GK,RB Leipzig,33-002,1990,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bcb2ccd8
166,Manuel Gulde,de GER,DF,Freiburg,32-085,1991,6.0,0,1,0,0.0,0.17,0.00,0.00,,7.2,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches,25ab9c9c
167,Robert Gumny,pl POL,DF,Augsburg,24-338,1998,21.6,1,9,3,33.3,0.42,0.14,0.11,0.33,13.2,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches,1df0c0b9
168,Christian Günter,de GER,DFMF,Freiburg,30-069,1993,29.5,0,26,6,23.1,0.88,0.20,0.00,0.00,21.6,0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches,8593f88c
169,Joško Gvardiol,hr CRO,DF,RB Leipzig,21-105,2002,22.9,1,14,4,28.6,0.61,0.17,0.07,0.25,14.2,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Matches,5ad50391
170,Janik Haberer,de GER,MF,Union Berlin,29-036,1994,22.1,5,31,13,41.9,1.40,0.59,0.16,0.38,18.8,0,0,0,3.3,3.3,0.10,+1.7,+1.7,Matches,70dcf94d
171,Alexander Hack,de GER,DF,Mainz 05,29-242,1993,12.6,0,3,0,0.0,0.24,0.00,0.00,,12.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,a5ec3ede
172,André Hahn,de GER,FWMF,Augsburg,32-268,1990,4.3,2,7,2,28.6,1.61,0.46,0.29,1.00,21.4,0,0,0,0.4,0.4,0.06,+1.6,+1.6,Matches,cd82452e
173,Amadou Haidara,ml MLI,MF,RB Leipzig,25-097,1998,13.9,2,16,4,25.0,1.15,0.29,0.13,0.50,23.0,0,0,0,2.7,2.7,0.17,-0.7,-0.7,Matches,92432bc6
174,Sébastien Haller,ci CIV,FW,Dortmund,28-320,1994,10.7,5,20,13,65.0,1.86,1.21,0.25,0.38,8.6,0,0,0,5.1,5.1,0.26,-0.1,-0.1,Matches,ba115a40
175,Marcel Halstenberg,de GER,DF,RB Leipzig,31-223,1991,15.4,1,8,2,25.0,0.52,0.13,0.13,0.50,12.1,0,0,0,1.0,1.0,0.13,0.0,0.0,Matches,8ff2354e
176,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,26-111,1997,14.6,0,6,1,16.7,0.41,0.07,0.00,0.00,14.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,2e77d607
177,Genki Haraguchi,jp JPN,MF,Stuttgart,31-364,1991,8.3,0,5,1,20.0,0.60,0.12,0.00,0.00,24.8,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,f24ea523
178,Genki Haraguchi,jp JPN,MF,Union Berlin,31-364,1991,5.5,0,6,1,16.7,1.08,0.18,0.00,0.00,21.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,f24ea523
179,Makoto Hasebe,jp JPN,DF,Eint Frankfurt,39-110,1984,13.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9ab16552
180,Thorgan Hazard,be BEL,FWDF,Dortmund,30-040,1993,5.2,0,8,3,37.5,1.55,0.58,0.00,0.00,14.2,0,0,0,1.3,1.3,0.17,-1.3,-1.3,Matches,50871bcc
181,Jonas Hector,de GER,DF,Köln,32-346,1990,28.4,0,22,4,18.2,0.78,0.14,0.00,0.00,15.6,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches,c2009df3
182,Dominique Heintz,de GER,DF,Bochum,29-266,1993,6.4,0,2,0,0.0,0.31,0.00,0.00,,6.8,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,699fb8db
183,Benjamin Henrichs,de GER,DFMF,RB Leipzig,26-074,1997,23.0,2,30,4,13.3,1.30,0.17,0.07,0.50,21.3,0,0,0,1.2,1.2,0.04,+0.8,+0.8,Matches,0a89e877
184,Lucas Hernández,fr FRA,DF,Bayern Munich,27-083,1996,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c3ee18ef
185,Patrick Herrmann,de GER,FWMF,M'Gladbach,32-085,1991,1.7,1,6,2,33.3,3.53,1.18,0.17,0.50,19.7,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches,dfb6490a
