,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
488,Mitchell Weiser,de GER,DFFW,Werder Bremen,29-017,1994,26.4,2,28,8,28.6,1.06,0.30,0.07,0.25,17.9,0,0,0,2.6,2.6,0.09,-0.6,-0.6,Matches,30c220c3
489,Noah Weißhaupt,de GER,MFFW,Freiburg,21-230,2001,2.8,0,2,1,50.0,0.73,0.36,0.00,0.00,14.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,dd676a97
490,Marcel Wenig,de GER,MF,Eint Frankfurt,19-004,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1c86aa16
491,Timo Werner,de GER,FWMF,RB Leipzig,27-063,1996,19.9,9,57,23,40.4,2.87,1.16,0.16,0.39,15.1,0,0,0,8.5,8.5,0.15,+0.5,+0.5,Matches,49fe9070
492,Silvan Widmer,ch SUI,DF,Mainz 05,30-064,1993,18.8,2,19,6,31.6,1.01,0.32,0.11,0.33,10.8,0,0,0,2.5,2.5,0.13,-0.5,-0.5,Matches,f68b64fc
493,Patrick Wimmer,at AUT,FWMF,Wolfsburg,21-343,2001,16.2,4,28,13,46.4,1.73,0.80,0.14,0.31,13.2,0,0,0,4.0,4.0,0.15,0.0,0.0,Matches,cb11b429
494,Jonas Wind,dk DEN,FW,Wolfsburg,24-090,1999,11.9,6,23,8,34.8,1.93,0.67,0.26,0.75,13.5,0,0,1,4.0,3.2,0.14,+2.0,+2.8,Matches,2077ae86
495,Frederik Winther,dk DEN,DF,Augsburg,22-124,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a1257b5e
496,Florian Wirtz,de GER,FWMF,Leverkusen,20-005,2003,10.0,1,6,3,50.0,0.60,0.30,0.17,0.33,17.4,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches,e7fcf289
497,Hannes Wolf,at AUT,FW,M'Gladbach,24-022,1999,4.3,1,6,3,50.0,1.41,0.70,0.17,0.33,11.6,0,0,0,1.3,1.3,0.22,-0.3,-0.3,Matches,be42a291
498,Marius Wolf,de GER,DF,Dortmund,27-346,1995,14.9,1,21,5,23.8,1.41,0.33,0.05,0.20,19.1,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches,fa661778
499,Jeong Woo-yeong,kr KOR,MFFW,Freiburg,23-230,1999,7.1,1,13,4,30.8,1.82,0.56,0.08,0.25,16.6,0,0,0,2.1,2.1,0.16,-1.1,-1.1,Matches,6190474d
500,Kelvin Yeboah,it ITA,FWMF,Augsburg,23-002,2000,3.0,0,9,1,11.1,3.02,0.34,0.00,0.00,13.9,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches,ea0893d6
501,Maya Yoshida,jp JPN,DF,Schalke 04,34-257,1988,27.9,0,12,2,16.7,0.43,0.07,0.00,0.00,13.9,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches,caffaf5a
502,Dan-Axel Zagadou,fr FRA,DF,Stuttgart,23-339,1999,12.3,0,13,3,23.1,1.05,0.24,0.00,0.00,11.1,0,0,0,1.7,1.7,0.13,-1.7,-1.7,Matches,a4effc55
503,Rodrigo Zalazar,uy URU,MFFW,Schalke 04,23-269,1999,13.2,1,34,12,35.3,2.57,0.91,0.03,0.08,22.5,9,0,0,2.8,2.8,0.08,-1.8,-1.8,Matches,fc3697dd
504,Aaron Zehnter,de GER,DF,Augsburg,18-189,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,65bf7e2b
505,Robin Zentner,de GER,GK,Mainz 05,28-192,1994,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5c4bf6ba
506,Michael Zetterer,de GER,GK,Werder Bremen,27-300,1995,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9b688ae1
507,Simon Zoller,de GER,FWMF,Bochum,31-316,1991,15.8,3,30,9,30.0,1.90,0.57,0.10,0.33,12.6,0,0,0,4.1,4.1,0.14,-1.1,-1.1,Matches,29f7cfd9
